"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[1,0]","[0,1]","[3,2]","[true,true,false,false]","0","1","true","[0.5658962656093065,0.30415456912009114,0.6737551787416283,0.4745299293825257]","true","true","dawsTwoStep","62","173627","0.0-62.0"
"[1,0]","[1,0]","[0,1]","[false,false,false,false]","1","0","false","[0.540166767328081,0.29177626949514485,0.653062511168119,0.48072368428326884]","true","false","dawsTwoStep","63","176430","0.0-63.0"
"[0,1]","[2,3]","[2,3]","[true,false,true,false]","0","3","false","[0.5317293971633839,0.3076734010316715,0.682200313898719,0.4675271330128616]","false","true","dawsTwoStep","64","179239","0.0-64.0"
"[1,0]","[0,1]","[2,3]","[true,false,false,true]","0","0","true","[0.5569490951205133,0.3118875947248802,0.7043984449935085,0.4802632260665548]","true","true","dawsTwoStep","65","182078","0.0-65.0"
"[1,0]","[2,3]","[2,3]","[true,false,true,true]","0","3","true","[0.521007740207235,0.29678762672225467,0.6953883801934714,0.4615283290572413]","false","true","dawsTwoStep","66","184447","0.0-66.0"
"[0,1]","[3,2]","[3,2]","[true,false,true,true]","0","3","true","[0.5179556117061572,0.33171884874776314,0.7298590164161799,0.4550176054663001]","false","true","dawsTwoStep","67","186744","0.0-67.0"
"[0,1]","[3,2]","[3,2]","[false,true,true,true]","0","2","true","[0.5118874440961148,0.31244447185328805,0.7065746452601954,0.49300186542098834]","false","true","dawsTwoStep","68","189244","0.0-68.0"
"[0,1]","[2,3]","[3,2]","[false,false,true,false]","1","3","false","[0.5009191294552344,0.3291753982028659,0.749271349849044,0.5074499483846152]","false","true","dawsTwoStep","69","191592","0.0-69.0"
"[0,1]","[3,2]","[2,3]","[true,false,false,true]","1","3","true","[0.5047361584081912,0.3425437859743665,0.75,0.5255433384617242]","false","true","dawsTwoStep","70","194073","0.0-70.0"
"[0,1]","[0,1]","[1,0]","[false,true,true,false]","0","0","false","[0.5065109833860623,0.33815217818109056,0.75,0.5530246369728884]","true","false","dawsTwoStep","71","196232","0.0-71.0"
"[1,0]","[1,0]","[0,1]","[true,true,false,true]","1","1","true","[0.5180460800817105,0.3440552885999563,0.75,0.5558355121961062]","true","false","dawsTwoStep","72","198533","0.0-72.0"
"[0,1]","[1,0]","[2,3]","[false,true,false,false]","1","2","false","[0.49955795195498953,0.2983219009266816,0.75,0.5876193827879818]","true","true","dawsTwoStep","73","201250","0.0-73.0"
"[0,1]","[1,0]","[2,3]","[false,true,true,false]","1","3","false","[0.46692279883811366,0.36438038766993763,0.75,0.5881213175114741]","true","true","dawsTwoStep","74","203610","0.0-74.0"
"[1,0]","[0,1]","[1,0]","[false,true,true,true]","1","1","true","[0.5147459248921029,0.3536059223457912,0.7423074932212629,0.6311680235736358]","true","false","dawsTwoStep","75","205807","0.0-75.0"
"[0,1]","[3,2]","[2,3]","[true,false,true,false]","0","2","true","[0.5317109332737182,0.35019724628249266,0.7263288552400418,0.6166878241347727]","false","true","dawsTwoStep","76","208118","0.0-76.0"
"[1,0]","[1,0]","[3,2]","[true,false,false,true]","0","1","false","[0.5659714460833809,0.3975312539023649,0.75,0.6509499829058643]","true","true","dawsTwoStep","77","210577","0.0-77.0"
